Impractical Jokers,2018,PG-13,8.5
BoJack Horseman,1954,R,8.5
Masum,1988,PG-13,8.5
Whose Line Is It Anyway?,2010,R,8.5
Umbre,2009,PG,8.5
The New Batman Adventures,2006,R,8.5
Money Heist,1981,R,8.5
The Handmaid's Tale,1979,R,8.5
Boku dake ga inai machi,1957,R,8.5
Black Books,1997,PG-13,8.5
Mr. Robot,2002,PG-13,8.5
Hannibal,1985,PG-13,8.5
Horace and Pete,1980,PG-13,8.5
Spartacus: Gods of the Arena,2002,PG-13,8.5
The Prisoner,2003,R,8.5
Endeavour,2005,R,8.5
Luther,1987,R,8.5
Sons of Anarchy,1984,PG-13,8.5
Tinker Tailor Soldier Spy,1997,PG-13,8.5
I'm Alan Partridge,1995,R,8.5
Futurama,2018,PG,8.5
Jesus of Nazareth,1995,R,8.5
Kôkaku kidôtai: Stand Alone Complex,2002,R,8.5
The Knick,2001,PG-13,8.5
Detectorists,1957,PG-13,8.5
American Crime Story,1986,PG-13,8.5
This Is England '90,1995,R,8.5
Ash vs Evil Dead,1975,PG,8.5
Wentworth,2014,PG-13,8.5
Community,1954,R,8.5
Spartacus,1994,PG,8.5
Rurouni Kenshin: Wandering Samurai,1960,PG-13,8.4
The Venture Bros.,2009,PG,8.4
Scenes from a Marriage,2014,G,8.4
X-Men: The Animated Series,2018,PG-13,8.4
Generation War,2012,PG,8.4
Behzat Ç.: Bir Ankara Polisiyesi,1936,PG,8.4
The Daily Show,2010,PG-13,8.4
The Colbert Report,1999,R,8.4
The Legend of Korra,1994,PG-13,8.4
Narcos: Mexico,2017,PG,8.4
After Life,1964,PG-13,8.4
Happy Valley,1991,PG,8.4
Taboo,1981,R,8.4
Garth Marenghi's Darkplace,1950,PG,8.4
Carnivàle,1999,PG-13,8.4
Samurai Jack,1992,R,8.4
Police Squad!,1931,G,8.4
One Piece: Wan pîsu,2000,R,8.4
Suits,1991,R,8.4
Utopia,2018,R,8.4
The Angry Video Game Nerd,1980,PG,8.4
The Bugs Bunny/Looney Tunes Comedy Hour,1977,PG-13,8.4
Borgen,1942,PG-13,8.4
Inside No. 9,2000,G,8.4
Doctor Who,2000,R,8.4
Entourage,1993,G,8.4
State of Play,1940,PG-13,8.4
Inside Look: The People v. O.J. Simpson - American Crime Story,1974,PG-13,8.4
Modern Family,1990,R,8.4
The Muppet Show,2007,PG,8.4
Queer Eye,1968,R,8.3
The Expanse,2008,PG,8.3
Brooklyn Nine-Nine,1997,R,8.3
Pose,2011,R,8.3
Jeeves and Wooster,1983,R,8.3
Fleabag,1984,PG,8.3
Fringe,2008,PG-13,8.3
Billions,1996,R,8.3
Sex Education,2001,PG-13,8.3
Kardes Payi,2015,PG-13,8.3
Violet Evergarden,2005,R,8.3
The Americans,1946,PG,8.3
Permanent Roommates,1995,PG-13,8.3
